"","CountyName","Democrats","Republicans","Green","Libertarians","Unaffiliated","White","Black","AmericanIndian","Hispanic","Other","Male","Female","UnDisclosedGender","Total"
"1","ALAMANCE",38055,32982,1,494,28994,71717,20850,272,3090,7687,44212,54065,2249,100526
"2","ALEXANDER",6167,10793,0,83,7287,22466,999,35,260,830,11577,12440,313,24330
"3","ALLEGHANY",2644,2602,0,34,2142,7040,81,13,175,288,3493,3824,105,7422
"4","ANSON",11632,2467,2,19,3218,7395,7614,35,66,2294,6979,8277,2082,17338
"5","ASHE",5300,8045,0,72,5458,18302,112,18,188,443,8879,9845,151,18875
"6","AVERY",1402,6918,0,48,3380,11316,75,20,82,337,5438,6189,121,11748
"7","BEAUFORT",13231,10768,0,89,9009,23317,8190,42,354,1548,14781,17456,860,33097
"8","BERTIE",10030,1544,0,24,2425,4958,8498,18,27,549,6072,7579,372,14023
"9","BLADEN",12628,3908,0,38,6334,13307,8429,432,348,740,10469,12298,141,22908
"10","BRUNSWICK",27084,37070,1,372,34607,85253,8960,296,1057,4625,45060,51956,2118,99134
"11","BUNCOMBE",74841,46009,12,1408,71939,169068,10953,408,3253,13780,86952,102043,5214,194209
"12","BURKE",18239,20684,2,267,18893,51673,3469,92,775,2851,27251,30488,346,58085
"13","CABARRUS",41325,49286,4,772,44030,99031,24476,349,4488,11561,60799,71618,3000,135417
"14","CALDWELL",14130,24524,1,354,15541,49973,2835,73,745,1669,25853,28347,350,54550
"15","CAMDEN",2256,2436,0,45,3027,6375,1096,12,27,281,3744,3950,70,7764
"16","CARTERET",12000,22268,0,237,17786,47373,2703,104,474,2111,23968,27085,1238,52291
"17","CASWELL",7919,3294,0,34,4432,9755,5322,23,129,579,7087,8337,255,15679
"18","CATAWBA",25351,44635,2,405,33775,87558,9346,136,2664,7128,48011,54979,1178,104168
"19","CHATHAM",20739,12894,0,234,18868,41493,6446,105,1474,4691,23130,27134,2471,52735
"20","CHEROKEE",5626,9941,0,129,7457,22312,259,139,170,443,10896,12194,63,23153
"21","CHOWAN",4840,2617,0,22,2745,6685,3185,12,41,342,4539,5579,106,10224
"22","CLAY",1882,3596,0,44,3115,8333,43,17,56,244,4093,4437,107,8637
"23","CLEVELAND",25941,21000,1,237,17288,47942,13932,95,581,2498,29105,34364,998,64467
"24","COLUMBUS",20699,7136,1,58,9266,23370,11717,1046,277,1027,16812,20099,249,37160
"25","CRAVEN",22949,23932,0,349,21186,49054,15156,158,1433,4048,30767,36587,1062,68416
"26","CUMBERLAND",97962,49231,3,1135,66055,95830,88201,2374,11565,27981,91516,112399,10471,214386
"27","CURRITUCK",3961,7208,1,154,8267,17826,1059,47,137,659,9405,9945,241,19591
"28","DARE",8755,9145,1,212,11490,28038,578,36,226,951,14066,15270,267,29603
"29","DAVIDSON",25873,50479,1,444,30898,92502,10148,271,1732,4774,49843,56739,1113,107695
"30","DAVIE",5441,15086,0,112,9048,26295,1978,37,486,1377,13820,15581,286,29687
"31","DUPLIN",13989,8095,0,122,7868,18924,9002,49,1483,2099,13214,16083,777,30074
"32","DURHAM",122910,27721,9,1085,70753,110425,82136,599,7885,29318,94917,119245,8316,222478
"33","EDGECOMBE",26719,6217,2,83,5185,13830,23202,65,371,1109,16647,21175,384,38206
"34","FORSYTH",104267,75623,3,1232,74413,164187,69744,515,8727,21092,111299,136891,7348,255538
"35","FRANKLIN",18081,13314,0,197,12268,29500,11583,131,909,2646,20109,22582,1169,43860
"36","GASTON",44587,54341,1,691,43571,109656,23919,367,3289,9249,63835,76269,3087,143191
"37","GATES",4575,1763,0,29,2270,5353,2930,14,32,340,3888,4457,292,8637
"38","GRAHAM",1901,2829,0,26,1662,5950,4,318,43,146,3088,3266,64,6418
"39","GRANVILLE",18685,9382,1,144,10214,23882,12417,83,693,2044,16911,19950,1565,38426
"40","GREENE",6527,2084,0,22,2791,6492,4337,10,382,585,5217,6115,92,11424
"41","GUILFORD",167474,94763,8,1742,103311,207039,128183,1039,8962,31037,161216,201289,4793,367298
"42","HALIFAX",25276,4613,1,83,8381,15095,20687,1148,243,1424,16868,21007,479,38354
"43","HARNETT",26264,25929,0,492,21697,50227,16768,494,3118,6893,33132,39650,1600,74382
"44","HAYWOOD",16487,13422,4,249,14047,42395,468,107,351,1239,20431,23483,295,44209
"45","HENDERSON",17952,31591,4,437,34023,76923,2468,156,1863,4460,37936,44844,1227,84007
"46","HERTFORD",11191,1476,0,36,2677,5019,9741,107,87,513,6605,8601,174,15380
"47","HOKE",15209,6772,1,194,9971,14176,12643,2318,1866,3010,14507,17593,47,32147
"48","HYDE",1971,531,0,13,905,2511,813,3,27,93,1595,1773,52,3420
"49","IREDELL",30138,49204,1,569,39005,98215,13949,210,2744,6543,55645,62026,1246,118917
"50","JACKSON",10159,7521,3,173,10526,24175,662,1594,468,1951,12632,14649,1101,28382
"51","JOHNSTON",38546,48085,4,693,37983,95975,20377,361,4538,8598,57464,66100,1747,125311
"52","JONES",3547,1836,0,21,1903,4613,2429,16,79,249,3365,3852,90,7307
"53","LEE",14658,10304,2,171,11152,25219,7746,141,2251,3181,16294,19585,408,36287
"54","LENOIR",20832,9550,0,114,8012,20599,16447,61,519,1401,16905,21003,600,38508
"55","LINCOLN",13712,25054,0,257,18010,51135,3214,93,1305,2591,26827,29429,777,57033
"56","MACON",6492,10392,1,129,8665,24636,180,59,273,804,11832,13659,188,25679
"57","MADISON",6550,4392,0,107,5883,16100,181,29,134,622,8041,8501,390,16932
"58","MARTIN",10082,3292,0,34,3572,9160,7410,22,102,388,7622,9234,124,16980
"59","MCDOWELL",8305,11104,0,152,9744,27787,891,33,302,594,13875,15430,0,29305
"60","MECKLENBURG",317518,170537,17,4360,231135,403122,236734,2081,30213,81630,320955,385980,16632,723567
"61","MITCHELL",1146,6644,0,28,3204,10615,31,8,94,368,5182,5722,118,11022
"62","MONTGOMERY",7090,5033,2,60,4235,11899,3431,44,512,1046,7582,8647,191,16420
"63","MOORE",16395,27085,0,340,22775,55273,8186,334,1008,2802,30373,36204,18,66595
"64","NASH",33208,18722,1,205,14049,36469,26364,316,1110,3036,29597,35914,674,66185
"65","NEW HANOVER",52741,53034,7,1176,61093,134147,21632,392,2753,11880,73871,86694,7486,168051
"66","NORTHAMPTON",10480,1433,0,20,2636,5561,8601,36,38,371,6446,7817,306,14569
"67","ONSLOW",27457,38276,1,907,38836,75988,18997,385,5251,10107,47419,56207,1851,105477
"68","ORANGE",52389,16399,8,717,43720,82970,13054,276,3546,16933,49097,58707,5429,113233
"69","PAMLICO",3807,3143,0,38,2701,7578,1728,27,65,356,4484,5052,153,9689
"70","PASQUOTANK",13122,6111,3,168,9361,16360,10772,55,248,1578,12858,15269,638,28765
"71","PENDER",12582,15310,0,237,12604,32259,6435,92,710,1947,18994,21148,591,40733
"72","PERQUIMANS",4059,2706,1,32,3237,7419,2368,22,48,226,4680,5324,31,10035
"73","PERSON",12004,6622,0,97,7929,18245,7297,117,286,993,12016,14343,293,26652
"74","PITT",55552,31819,7,714,34427,71516,42682,256,2447,8065,52719,66091,3709,122519
"75","POLK",4382,5553,2,79,5923,14693,732,12,193,502,7288,8518,133,15939
"76","RANDOLPH",18730,45879,3,488,26357,80622,5769,267,2714,4799,42671,47840,946,91457
"77","RICHMOND",16487,5930,0,74,7834,18547,10104,438,362,1236,13768,16249,308,30325
"78","ROBESON",48643,9459,1,189,17747,22894,21537,27282,1326,4326,33430,42135,474,76039
"79","ROCKINGHAM",22464,20677,0,212,16392,45151,11837,122,806,2635,27456,32289,0,59745
"80","ROWAN",27789,38131,0,391,27817,72927,16667,181,1714,4353,43502,49613,1013,94128
"81","RUTHERFORD",14374,16879,0,216,13430,38263,4504,69,560,2063,20407,23494,998,44899
"82","SAMPSON",16309,13909,0,108,7714,23137,11632,562,1687,2709,17058,20595,387,38040
"83","SCOTLAND",12802,3720,0,50,5982,10787,9103,1610,178,1054,9648,12516,390,22554
"84","STANLY",11041,18260,1,140,11999,34751,4497,81,322,2112,19095,21429,917,41441
"85","STOKES",7659,14968,1,151,8171,28618,1321,64,277,947,14657,16243,50,30950
"86","SURRY",13556,19278,1,116,12744,41497,1794,66,1110,2338,20723,24263,709,45695
"87","SWAIN",3966,2681,0,30,3663,8116,122,1849,61,253,4886,5433,21,10340
"88","TRANSYLVANIA",6672,8242,0,117,10602,23631,927,50,186,1025,11765,13384,484,25633
"89","TYRRELL",1379,353,0,8,679,1534,778,7,31,100,1118,1281,20,2419
"90","UNION",39540,63709,3,679,49914,121920,18928,396,5547,12601,71906,79724,2215,153845
"91","VANCE",19748,4359,1,69,5889,12810,15848,54,472,1354,13159,16411,496,30066
"92","WAKE",268101,188263,29,4675,261058,477310,143114,1852,23957,99850,323411,370013,28702,722126
"93","WARREN",9240,1812,0,34,2402,5378,7124,580,58,406,6139,7194,155,13488
"94","WASHINGTON",5835,1140,0,26,1735,3969,4387,9,52,371,3831,4791,114,8736
"95","WATAUGA",12129,14049,2,503,19067,42221,999,70,1014,2460,21323,23888,539,45750
"96","WAYNE",32229,23840,0,302,18214,43330,25296,144,2103,5815,32878,39697,2010,74585
"97","WILKES",9787,21980,1,139,10772,39788,1723,44,649,1124,19930,22232,517,42679
"98","WILSON",29062,13471,1,157,12873,28828,23143,93,1147,3500,24273,30215,1076,55564
"99","YADKIN",4049,13268,0,77,6610,22272,755,30,637,947,11265,12415,324,24004
"100","YANCEY",5123,4922,0,49,3903,13582,82,21,73,312,6579,7218,200,13997
